Campaign,Date,City/Location,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Spice Bazaar ,12/19/2023,Hyderabad,YouTube,Smartphone,Exclusive Sale,7274,8.2%,264,115,5835,21,12374,93,16,23
Spice Bazaar ,12/20/2023,Hyderabad,YouTube,Smartphone,Exclusive Sale,7426,7.9%,262,56,2789,17,50577,76,20,27
Spice Bazaar ,12/21/2023,Hyderabad,YouTube,Smartphone,Exclusive Sale,4163,10.5%,194,69,2580,21,16566,105,56,33
Spice Bazaar ,12/22/2023,Hyderabad,YouTube,Smartphone,Exclusive Sale,4984,7.0%,155,19,552,24,24274,97,58,23
Spice Bazaar ,12/23/2023,Hyderabad,YouTube,Smartphone,Exclusive Sale,5831,8.5%,221,78,3308,14,10548,81,13,7
Festival Delight,3/24/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2560,8.1%,92,80,1418,24,0,44,9,20
Festival Delight,3/25/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2586,6.4%,74,196,2792,3,5796,98,20,23
Festival Delight,3/26/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4413,6.0%,119,75,1711,28,0,70,16,7
Festival Delight,3/27/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2033,6.2%,57,92,994,28,9602,85,2,3
Festival Delight,3/28/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4057,6.0%,108,116,2411,3,8114,75,13,3
Festival Delight,3/29/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4689,6.1%,128,83,2040,28,0,53,13,17
Festival Delight,3/30/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2082,7.1%,66,188,2383,14,17310,57,16,10
Festival Delight,3/31/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3187,5.8%,83,174,2762,28,13253,34,16,7
Festival Delight,4/1/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3821,8.8%,149,191,5441,3,8925,69,20,13
Festival Delight,4/2/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3482,8.1%,126,154,3718,31,9331,100,9,20
Festival Delight,4/3/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1894,7.9%,67,109,1385,21,17580,58,7,7
Festival Delight,4/4/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4208,8.4%,157,25,762,7,5004,32,4,20
Festival Delight,4/5/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3569,6.9%,110,154,3266,21,0,28,11,17
Festival Delight,4/6/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1816,5.9%,48,138,1257,24,11495,82,20,10
Festival Delight,4/7/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2601,8.0%,93,147,2603,0,19744,28,9,3
Festival Delight,4/8/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2529,8.0%,90,65,1124,7,0,81,16,0
Festival Delight,4/9/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3993,4.8%,85,52,844,24,0,81,4,3
Festival Delight,4/10/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3846,4.7%,81,61,941,21,14538,91,9,0
Festival Delight,4/11/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4199,7.2%,136,145,3755,31,17580,69,22,3
Festival Delight,4/12/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2580,6.1%,71,201,2721,21,0,59,16,10
Festival Delight,4/13/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2285,5.1%,52,27,271,7,5796,95,16,23
Festival Delight,4/14/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2722,8.9%,108,77,1598,21,24680,55,11,3
Festival Delight,4/15/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4940,8.6%,188,162,5851,28,14335,63,9,20
Festival Delight,4/16/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2159,8.0%,77,43,634,10,4395,90,9,3
Festival Delight,4/17/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4767,8.0%,169,78,2529,10,10075,86,11,10
Festival Delight,4/18/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3895,6.0%,104,76,1517,28,966,64,13,7
Festival Delight,4/19/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3062,8.2%,112,36,775,10,8655,84,18,20
Festival Delight,4/20/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3170,5.9%,83,33,529,24,12780,50,11,3
Festival Delight,4/21/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3401,8.4%,127,190,4596,17,14740,32,9,3
Festival Delight,4/22/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2850,5.6%,71,171,2323,7,11224,43,13,3
Festival Delight,4/23/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1955,7.5%,65,181,2262,7,8925,48,0,13
Festival Delight,12/26/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3699,4.7%,78,152,2261,24,10751,81,16,3
Festival Delight,12/27/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2674,5.1%,61,147,1700,21,15687,53,9,13
Festival Delight,12/28/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3894,7.5%,130,104,2581,24,20217,31,7,3
Festival Delight,12/29/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2709,4.8%,58,138,1539,24,18730,59,4,13
Festival Delight,12/30/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2366,4.0%,42,48,389,21,1546,87,13,0
Festival Delight,12/31/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3486,5.2%,81,31,487,17,8655,93,7,0
Festival Delight,11/17/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2231,8.3%,82,124,1950,28,10210,58,18,3
Festival Delight,11/18/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2261,7.5%,76,96,1386,7,1256,58,18,10
Festival Delight,11/19/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2486,7.3%,81,151,2345,17,9737,41,2,13
Festival Delight,11/20/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1819,6.6%,54,145,1491,31,13388,32,2,23
Festival Delight,11/21/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3886,7.2%,125,137,3265,7,7235,68,13,17
Festival Delight,11/22/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2155,7.9%,76,165,2399,0,13456,27,11,20
Festival Delight,11/23/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4296,6.2%,120,171,3913,10,9534,75,22,10
Festival Delight,11/24/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3567,7.2%,115,89,1961,31,11833,70,11,23
Festival Delight,11/25/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2980,5.4%,72,182,2512,21,17648,87,0,7
Festival Delight,11/26/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3670,8.7%,142,106,2861,10,29954,112,25,20
Festival Delight,11/27/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3198,4.0%,57,68,742,21,24274,73,7,10
Festival Delight,11/28/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4380,8.9%,173,136,4497,7,25018,54,0,3
Festival Delight,11/29/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4302,6.9%,132,110,2795,0,4347,52,4,10
Festival Delight,11/30/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2764,6.1%,76,218,3156,3,28872,53,2,17
Festival Delight,12/1/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2647,7.6%,90,142,2448,17,35769,114,31,0
Festival Delight,12/2/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3944,7.1%,126,115,2773,7,13050,68,2,13
Festival Delight,2/5/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2252,8.6%,86,191,3133,7,17377,81,25,17
Festival Delight,2/6/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3266,5.0%,73,70,987,3,22516,96,4,10
Festival Delight,2/7/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2933,5.9%,78,158,2353,14,16837,102,11,3
Festival Delight,2/8/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2643,8.9%,105,69,1394,10,6221,112,7,7
Festival Delight,2/9/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2668,6.3%,75,107,1538,21,21232,109,11,13
Festival Delight,2/10/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2172,8.6%,83,173,2743,28,10345,70,16,17
Festival Delight,2/11/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4521,5.8%,117,212,4735,14,18459,44,18,10
Festival Delight,2/12/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3304,6.3%,93,93,1660,10,6153,89,9,20
Festival Delight,2/13/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1939,6.4%,56,137,1458,3,20353,98,7,10
Festival Delight,2/14/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2944,4.7%,61,173,2034,17,16837,49,22,3
Festival Delight,2/15/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1952,6.7%,59,98,1098,17,29143,96,4,17
Festival Delight,2/16/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3514,8.2%,128,109,2692,28,20691,103,7,20
Festival Delight,2/17/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4206,8.4%,157,175,5245,10,19068,82,22,13
Festival Delight,2/18/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3226,7.1%,103,124,2442,0,13320,117,22,17
Festival Delight,2/19/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2637,6.5%,77,184,2705,28,12780,119,31,13
Festival Delight,5/31/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,5013,5.2%,116,93,2058,7,21773,113,13,3
Festival Delight,6/1/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4428,6.8%,134,142,3638,10,17310,58,0,27
Festival Delight,6/2/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3325,6.2%,92,68,1201,21,4250,89,20,3
Festival Delight,6/3/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3189,8.4%,119,119,2710,10,5342,86,2,13
Festival Delight,6/4/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3027,6.9%,93,145,2575,10,15619,38,20,20
Festival Delight,6/5/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2375,6.4%,68,65,855,17,14064,73,16,13
Festival Delight,6/6/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2861,6.0%,76,185,2700,21,0,66,11,3
Festival Delight,6/7/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4469,7.2%,143,141,3862,17,0,54,22,23
Festival Delight,6/8/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3824,9.5%,162,184,5703,3,17851,57,11,10
Festival Delight,6/9/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3842,5.5%,95,78,1419,14,0,81,11,23
Festival Delight,6/10/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4661,5.6%,116,68,1520,14,5004,81,13,0
Festival Delight,6/11/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4826,5.6%,121,172,3992,21,4540,79,4,20
Festival Delight,6/12/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1842,8.2%,67,82,1052,24,5680,65,22,23
Festival Delight,6/13/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4456,6.9%,137,82,2152,3,10548,89,7,0
Festival Delight,6/14/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4592,4.8%,98,191,3570,14,15146,53,20,23
Festival Delight,6/15/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2595,6.8%,79,116,1750,17,0,74,18,0
Festival Delight,6/16/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3986,7.1%,127,165,4014,0,10007,84,13,3
Festival Delight,6/17/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4103,8.1%,148,158,4491,14,4733,103,7,10
Festival Delight,6/18/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4698,6.4%,135,155,4012,3,8520,60,4,23
Festival Delight,6/19/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4214,6.4%,120,178,4087,21,18392,122,2,17
Festival Delight,6/20/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4233,5.2%,98,116,2177,28,17851,82,18,13
Festival Delight,6/21/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4230,6.1%,115,168,3694,7,0,71,2,10
Festival Delight,6/22/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3078,5.9%,81,113,1768,17,12577,76,9,7
Festival Delight,6/23/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4220,5.1%,96,219,4007,17,15011,89,9,13
Heritage Exclusive Sale,6/24/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1802,6.0%,48,119,1098,14,4154,89,13,17
Heritage Exclusive Sale,6/25/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2282,6.6%,68,85,1100,24,13726,53,33,27
Heritage Exclusive Sale,6/26/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1982,6.4%,57,125,1363,24,5506,84,22,23
Heritage Exclusive Sale,6/27/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,591,5.2%,14,194,511,17,11292,60,38,27
Heritage Exclusive Sale,6/28/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3364,7.6%,115,193,4227,24,7911,116,11,7
Heritage Exclusive Sale,6/29/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,370,4.4%,7,113,159,28,5680,71,22,20
Heritage Exclusive Sale,6/30/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,438,4.2%,8,44,69,14,4327,58,7,3
Heritage Exclusive Sale,7/1/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,620,5.8%,16,136,419,17,2125,64,13,23
Heritage Exclusive Sale,7/2/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,501,7.6%,17,169,553,21,8249,98,22,10
Heritage Exclusive Sale,7/3/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1209,4.7%,25,204,997,24,4666,82,33,30
Heritage Exclusive Sale,7/4/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,349,7.2%,11,120,257,28,3188,82,13,13
Heritage Exclusive Sale,7/5/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3088,7.6%,105,44,886,31,4926,108,22,7
Heritage Exclusive Sale,7/6/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1839,4.6%,38,60,433,10,5409,59,11,23
Heritage Exclusive Sale,7/7/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1725,4.2%,32,61,372,28,9196,82,20,33
Heritage Exclusive Sale,7/8/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1374,5.2%,32,95,576,7,3671,111,16,3
Heritage Exclusive Sale,7/9/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,167,5.2%,4,43,32,31,5796,87,16,30
Heritage Exclusive Sale,7/10/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1080,7.4%,36,53,360,7,4327,95,4,13
Heritage Exclusive Sale,7/11/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1541,5.9%,40,59,454,31,4926,53,20,23
Heritage Exclusive Sale,7/12/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,435,6.1%,12,65,147,14,5603,86,9,3
Heritage Exclusive Sale,7/13/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,326,7.7%,11,104,222,17,3284,116,18,10
Heritage Exclusive Sale,7/14/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1754,7.1%,56,198,2122,14,2801,95,18,27
Heritage Exclusive Sale,7/15/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2458,4.5%,50,110,1049,14,5796,68,9,10
Heritage Exclusive Sale,7/16/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1306,5.6%,33,155,976,24,6897,63,11,33
Heritage Exclusive Sale,7/17/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2521,6.7%,75,121,1745,35,5216,60,9,23
Heritage Exclusive Sale,7/18/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1742,7.4%,58,121,1342,14,9399,66,2,27
Heritage Exclusive Sale,7/19/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,290,6.5%,8,99,160,35,24612,47,27,30
Heritage Exclusive Sale,7/20/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1157,5.2%,27,70,364,14,14402,101,22,17
Heritage Exclusive Sale,7/21/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1883,7.4%,63,73,877,17,13861,91,16,40
Heritage Exclusive Sale,7/22/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,409,6.0%,11,195,406,24,8384,84,27,23
Heritage Exclusive Sale,7/23/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2846,4.9%,62,162,1923,14,11157,47,11,33
Heritage Exclusive Sale,7/24/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4,6.0%,0,135,3,31,6356,97,16,17
Heritage Exclusive Sale,7/25/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1067,4.0%,19,112,412,28,7911,74,0,17
Heritage Exclusive Sale,7/26/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1978,5.7%,51,168,1627,31,5815,87,13,20
Heritage Exclusive Sale,7/27/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1302,6.6%,39,55,404,28,7167,75,2,23
Heritage Exclusive Sale,7/28/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2217,5.0%,49,94,884,24,14740,53,22,27
Heritage Exclusive Sale,7/29/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,156,6.3%,4,90,76,28,22719,73,2,37
Heritage Exclusive Sale,7/30/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3336,6.9%,103,166,3260,24,4733,107,7,20
Heritage Exclusive Sale,7/31/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,299,7.9%,10,145,290,17,11698,98,4,13
Heritage Exclusive Sale,8/1/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2091,5.9%,55,94,985,24,19879,52,7,37
Heritage Exclusive Sale,8/2/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1217,5.5%,30,199,1136,24,10954,97,4,23
Heritage Exclusive Sale,8/3/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1382,7.2%,44,188,1592,21,10683,47,9,27
Heritage Exclusive Sale,8/4/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,264,7.9%,9,76,136,24,4260,62,2,27
Heritage Exclusive Sale,8/5/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,770,7.3%,25,124,599,24,8655,58,16,37
Heritage Exclusive Sale,8/6/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1972,6.8%,60,65,737,28,6559,65,4,23
Heritage Exclusive Sale,8/7/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2132,6.0%,57,156,1717,31,9534,81,9,17
Heritage Exclusive Sale,8/8/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,471,7.2%,15,118,344,21,5989,93,2,20
Heritage Exclusive Sale,8/9/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,405,8.0%,14,151,413,7,18933,113,22,10
Heritage Exclusive Sale,8/10/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,830,5.0%,18,82,289,7,4327,69,13,20
Heritage Exclusive Sale,8/11/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2519,6.7%,75,39,562,3,8384,96,18,17
Heritage Exclusive Sale,8/12/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1392,7.4%,46,49,429,3,0,93,7,3
Heritage Exclusive Sale,8/13/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,364,7.4%,12,112,260,7,6491,103,33,27
Heritage Exclusive Sale,8/14/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,179,7.2%,6,168,184,0,10481,114,25,13
Heritage Exclusive Sale,8/15/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1194,5.6%,30,133,757,3,4260,106,27,33
Heritage Exclusive Sale,8/16/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1106,4.6%,23,33,144,7,8925,90,31,20
Heritage Exclusive Sale,8/17/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2086,6.7%,63,134,1607,0,4868,92,11,30
Heritage Exclusive Sale,8/18/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1664,4.1%,31,114,670,7,3574,85,7,33
Heritage Exclusive Sale,8/19/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,924,5.7%,23,63,280,17,8925,70,38,30
Heritage Exclusive Sale,8/20/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3195,4.5%,64,127,1551,17,11630,82,13,17
Heritage Exclusive Sale,8/21/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,458,4.8%,10,93,175,17,14876,93,27,27
Heritage Exclusive Sale,8/22/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1462,4.3%,28,35,190,7,4936,66,38,27
Heritage Exclusive Sale,8/23/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,57,4.1%,1,94,19,3,4733,96,25,40
Heritage Exclusive Sale,8/24/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2666,4.2%,50,74,706,7,0,114,29,17
Heritage Exclusive Sale,8/25/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1205,6.1%,33,98,612,3,18392,113,22,10
Heritage Exclusive Sale,8/26/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2146,6.1%,58,77,861,3,4598,73,20,17
Heritage Exclusive Sale,8/27/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,175,7.9%,6,76,89,28,5892,58,29,13
Heritage Exclusive Sale,8/28/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1043,5.6%,26,128,636,17,7438,48,9,23
Heritage Exclusive Sale,8/29/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,770,4.5%,15,91,267,17,21637,55,33,40
Heritage Exclusive Sale,8/30/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,374,4.5%,8,178,257,17,4443,57,22,13
Heritage Exclusive Sale,8/31/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1310,5.0%,29,172,968,14,4347,60,2,13
Heritage Exclusive Sale,9/1/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,683,4.4%,13,59,150,7,2125,97,13,17
Heritage Exclusive Sale,9/2/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1696,7.8%,59,50,563,10,23193,111,2,40
Heritage Exclusive Sale,9/3/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,658,5.0%,15,50,141,7,5274,107,27,30
Heritage Exclusive Sale,9/4/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,311,8.0%,11,85,179,14,2125,55,22,3
Heritage Exclusive Sale,9/5/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,644,5.5%,16,37,112,3,9061,89,13,20
Heritage Exclusive Sale,9/6/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1669,4.6%,34,177,1166,3,21975,62,22,30
Heritage Exclusive Sale,9/7/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,42,4.5%,1,36,6,14,1063,62,36,7
Heritage Exclusive Sale,9/8/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,751,5.5%,18,178,625,0,5409,62,25,20
Heritage Exclusive Sale,9/9/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2306,5.4%,55,118,1253,0,3477,90,27,23
Heritage Exclusive Sale,9/10/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3093,5.2%,71,106,1444,14,6221,64,9,17
Heritage Exclusive Sale,9/11/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3580,5.7%,91,157,2734,17,6018,101,40,20
Heritage Exclusive Sale,9/12/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1091,7.1%,35,118,781,7,2608,118,22,13
Heritage Exclusive Sale,9/13/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,423,6.4%,12,37,86,28,5545,98,2,40
Heritage Exclusive Sale,9/14/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,461,5.8%,12,57,130,0,1159,91,36,7
Heritage Exclusive Sale,9/15/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,269,7.5%,9,160,276,21,4926,96,31,33
Heritage Exclusive Sale,9/16/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1355,6.3%,38,144,1045,3,15146,59,18,17
Heritage Exclusive Sale,9/17/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,75,7.9%,3,72,37,0,5545,49,13,13
Heritage Exclusive Sale,9/18/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1187,7.1%,38,29,212,10,12847,101,13,17
Heritage Exclusive Sale,9/19/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2752,4.1%,50,51,487,21,8925,59,25,13
Heritage Exclusive Sale,9/20/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1421,4.6%,29,92,510,28,5139,95,33,23
Heritage Exclusive Sale,9/21/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2209,6.4%,63,72,871,10,4733,105,4,30
Heritage Exclusive Sale,9/22/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,2649,5.9%,70,201,2702,0,7438,63,27,33
Heritage Exclusive Sale,9/23/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,1102,5.8%,28,138,750,7,11292,92,20,13
Spice Bazaar ,9/24/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4914,4.6%,100,210,4034,7,28196,96,22,10
Spice Bazaar ,9/25/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,7174,5.1%,164,99,3102,14,22449,118,13,23
Spice Bazaar ,9/26/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,6383,6.2%,178,199,6775,17,16228,132,38,3
Spice Bazaar ,9/27/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4829,7.7%,167,178,5679,17,14267,90,29,17
Spice Bazaar ,9/28/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3770,5.9%,99,70,1333,10,21773,107,45,7
Spice Bazaar ,9/29/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4932,8.3%,183,104,3620,10,23057,81,47,10
Spice Bazaar ,9/30/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,3785,7.6%,129,109,2704,7,22313,80,36,13
Spice Bazaar ,10/1/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,6978,8.5%,263,102,5117,10,21570,79,31,3
Spice Bazaar ,10/2/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,7037,9.1%,284,118,6432,7,13997,107,20,30
Spice Bazaar ,10/3/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,7056,5.7%,179,55,1874,10,11765,113,31,3
Spice Bazaar ,10/4/2023,Ahmedabad,YouTube,Smartphone,Fresh Deals,4610,8.9%,182,114,3984,7,22449,121,49,27
